PDB ID,Asym ID1,Asym ID2,Auth Asym ID1,Auth Asym ID2,Uniprot accession1,Uniprot accession2,Uniprot boundary1
3F8B,None,None,"A,B",None,A2RI36,None,110-116
3DS9,None,None,A,None,A5HZZ9,None,199-208
3MIO,None,None,"A,B",None,A5U2B7,None,75-85
4AYJ,None,None,"A,B,C,D",None,A7LVT2,None,237-246
5MSU,None,None,"A,B,C",None,B2HN69,None,1-712
4AWZ,None,None,"A,B,C",None,B5DCA0,None,1-26
3GLM,None,None,"A,B,C,D",None,B7TVP1,None,222-232
3GMA,None,None,"A,B",None,B7TVP1,None,222-232
3GLM,None,None,"A,B,C,D",None,B7TVP1,None,506-512
3GMA,None,None,"A,B",None,B7TVP1,None,506-512
5LX2,None,None,A,None,C5DN49,None,239-253
4DBE,None,None,"A,B",None,D0KT28,None,216-222
3NCO,None,None,"A,B",None,D4PEB3,None,1-7
4AD2,None,None,"A,B,C,D",None,D6D1V7,None,1-31
4AD3,None,None,"A,B,C,D",None,D6D1V7,None,1-31
5MSR,None,None,"A,B,C,D",None,E5XP76,None,1-16
5MST,None,None,"A,B",None,E5XP76,None,1-16
5MSV,None,None,"A,B,C,D",None,E5XP76,None,1-16
5MSR,None,None,"A,B,C,D",None,E5XP76,None,652-665
5MST,None,None,"A,B",None,E5XP76,None,652-665
5MSV,None,None,"A,B,C,D",None,E5XP76,None,652-665
4QDF,None,None,A,None,F1CMY8,None,1-14
4QDF,None,None,A,None,F1CMY8,None,385-390
4PFP,None,None,"A,C",None,F1RQI7,None,398-403
5NYR,None,None,"A,B",None,F8JB59,None,20-27
5NYR,None,None,"A,B",None,F8JB59,None,102-111
5NYR,None,None,"A,B",None,F8JB59,None,185-194
4B7M,None,None,"A,B",None,F8UU09,None,1-82
5X5W,None,None,"A,C",None,G3G933,None,1-25
5X5W,None,None,"A,C",None,G3G933,None,262-402
4N2Q,None,None,A,None,I1HB13,None,1-43
4N2S,None,None,A,None,I1HB13,None,1-43
4N2Q,None,None,A,None,I1HB13,None,242-257
4N2S,None,None,A,None,I1HB13,None,242-257
4R9G,None,None,"A,B",None,L0E2M2,None,1-40
4R9G,None,None,"A,B",None,L0E2M2,None,443-447
3LLK,None,None,"A,B,C",None,O00391,None,286-292
5E7I,None,None,"A,B,C",None,O00571,None,154-163
5E7I,None,None,"A,B,C",None,O00571,None,578-584
1NVQ,None,None,A,None,O14757,None,274-289
1NVR,None,None,A,None,O14757,None,274-289
1NVS,None,None,A,None,O14757,None,274-289
2YDJ,None,None,"A,B",None,O14757,None,274-289
4C3P,None,None,"A,D",None,O14965,None,389-403
3W18,None,None,"A,B",None,O14965,None,389-403
1OGK,None,None,"A,B,D,E",None,O15923,None,1-8
1OGK,None,None,"A,B,D,E",None,O15923,None,120-138
4QNK,None,None,"A,B,C,D,E,F,G,H",None,O23346,None,259-272
5BSM,None,None,"A,B",None,O24146,None,538-542
2BGG,None,None,"A,B",None,O28951,None,303-308
2W42,None,None,"A,B",None,O28951,None,303-308
2BGG,None,None,"A,B",None,O28951,None,333-338
2W42,None,None,"A,B",None,O28951,None,333-338
2BGG,None,None,"A,B",None,O28951,None,1-10
2W42,None,None,"A,B",None,O28951,None,1-10
5XFP,None,None,"A,B,E",None,O43189,None,127-132
3MDG,None,None,"A,B",None,O43809,None,1-17
3MDI,None,None,"A,B",None,O43809,None,1-17
3AF6,None,None,A,None,O50112,None,1-8
3AF6,None,None,A,None,O50112,None,51-55
5GJM,None,None,"A,B",None,O50657,None,383-393
3U54,None,None,"A,B",None,O57978,None,1-11
4O81,None,None,"A,B",None,O57978,None,1-11
4O82,None,None,"A,B",None,O57978,None,1-11
4O83,None,None,"A,B",None,O57978,None,1-11
4O84,None,None,"A,B",None,O57978,None,1-11
1Y0Y,None,None,A,None,O59196,None,1-5
2ZAE,None,None,"B,D",None,O59248,None,110-120
3AEV,None,None,B,None,O59282,None,129-134
3AEV,None,None,B,None,O59282,None,209-219
3AEV,None,None,B,None,O59282,None,1-25
2Z0G,None,None,"A,B,C,D",None,O66513,None,37-53
1N06,None,None,"A,B",None,O74866,None,1-7
1N07,None,None,"A,B",None,O74866,None,1-7
1N08,None,None,"A,B",None,O74866,None,1-7
3PU3,None,None,"A,B",None,O75151,None,446-451
3PU8,None,None,"A,B",None,O75151,None,446-451
3PUS,None,None,"A,B",None,O75151,None,446-451
4Z7G,None,None,"A,B",None,O75460,None,965-977
4Z7H,None,None,"A,B",None,O75460,None,965-977
2FAW,None,None,"A,B",None,O81226,None,277-288
4DI4,None,None,A,None,O83922,None,23-49
3QWF,None,None,"A,B,C,D,E,F,G,H",None,O93874,None,1-9
3QWH,None,None,"A,B,C,D",None,O93874,None,1-9
3QWI,None,None,"A,B,C,D",None,O93874,None,1-9
4FJ0,None,None,"A,B,C,D",None,O93874,None,1-9
4FJ1,None,None,"A,B,C,D",None,O93874,None,1-9
4FJ2,None,None,"A,B,C,D",None,O93874,None,1-9
4BUR,None,None,"A,B,C,D",None,O95831,None,540-550
3AU8,None,None,"A,B",None,O96693,None,1-76
3AU9,None,None,"A,B",None,O96693,None,1-76
3AUA,None,None,"A,B",None,O96693,None,1-76
3WQQ,None,None,"A,B",None,O96693,None,1-76
3WQR,None,None,"A,B",None,O96693,None,1-76
5L2O,None,None,"A,B,C,D,E,F,G,H",None,P00352,None,1-7
2GH5,None,None,"A,B",None,P00390,None,45-61
3SQP,None,None,"A,B",None,P00390,None,45-61
1PYG,None,None,"A,B,C,D",None,P00489,None,2-6
3E3L,None,None,"A,B,C,D",None,P00489,None,2-6
3E3N,None,None,"A,B,C,D,E,F,G,H",None,P00489,None,2-6
1PYG,None,None,"A,B,C,D",None,P00489,None,838-843
3E3L,None,None,"A,B,C,D",None,P00489,None,838-843
3E3N,None,None,"A,B,C,D,E,F,G,H",None,P00489,None,838-843
1EYJ,None,None,"A,B",None,P00636,None,2-7
1EYK,None,None,"A,B",None,P00636,None,2-7
1NV7,None,None,"A,B",None,P00636,None,2-7
1Q9D,None,None,"A,B",None,P00636,None,2-7
2QVU,None,None,"A,B",None,P00636,None,2-7
2QVV,None,None,"A,B",None,P00636,None,2-7
4CJ2,None,None,"A,B",None,P00698,None,1-18
1PMK,None,None,"A,B",None,P00747,None,457-461
4GUX,None,None,"A,B,C",None,P00760,None,1-23
4XOJ,None,None,A,None,P00760,None,1-23
1H59,None,None,A,None,P01343,None,113-118
5UJB,None,None,"A,B",None,P02768,None,1-26
2PHL,None,None,"A,B,C",None,P02853,None,25-33
2PHL,None,None,"A,B,C",None,P02853,None,237-243
4HWL,None,None,"A,B",None,P02945,None,1-17
